rank,player_id,rapm_100,ci_lo,ci_hi,poss,player,team,season_min,season_pm
131,1631245,0.9522513330474603,-1.5987462579171066,3.581175480544705,2033,Quenton Jackson,IND,897.425,-63
132,1631323,0.9185817880116979,-1.68548886889152,3.5228082537998002,2648,Simone Fontecchio,MIA,1172.47,91
133,1630619,0.9165825859906187,-1.4672133418266033,3.0852723079221303,1185,Moussa Cisse,DAL,529.58,-3
134,1642271,0.9068760870730848,-2.088069553041155,3.6809382751430153,3994,Kyle Filipowski,UTA,1800.9433333333334,-256
135,204001,0.8923323672086397,-1.6808906935085837,3.458454126400059,1701,Kristaps Porziņģis,GSW,768.8916666666667,45
136,1630532,0.8913058708766798,-2.0714436269148138,3.7917401169924827,2268,Franz Wagner,ORL,1019.0033333333333,80
137,1628369,0.8689433529480871,-1.4425674453100186,3.6256335864283433,1097,Jayson Tatum,BOS,521.85,118
138,1642857,0.852247787215111,-1.784183634201364,3.567265353870669,2160,Kasparas Jakučionis,MIA,944.6283333333333,72
139,1631248,0.8418917124410906,-1.749565740329556,3.3100302164945274,2969,Baylor Scheierman,BOS,1429.3033333333333,199
140,1642845,0.8408923822526136,-1.9946215972677181,3.6176476998926876,5631,VJ Edgecombe,PHI,2623.305,57
141,1642363,0.8336710260504742,-2.1955754553708706,3.525609987353697,4034,Nique Clifford,SAC,1881.925,-219
142,1642366,0.8247373477706498,-1.6666987347796491,3.358449436368966,2524,Quinten Post,GSW,1159.1983333333333,60
143,1630529,0.8244886858579303,-2.063517042825434,3.16825534838454,3421,Herbert Jones,NOP,1588.3816666666667,-49
144,1642920,0.8073232882542757,-2.339791518158197,3.604409796819694,2873,Kobe Sanders,LAC,1351.4166666666667,32
145,1630692,0.8067190261175705,-1.7170199535001105,3.243060385968258,3358,Jordan Goodwin,PHX,1571.7766666666666,93
146,1631157,0.8064632948109156,-1.7403809513954707,3.548676434075783,5088,Ryan Rollins,MIL,2375.483333333333,-175
147,1631114,0.795417847403338,-2.1903085204751642,3.18840134506984,2044,Jalen Williams,OKC,935.9633333333334,229
148,1642866,0.7843573647743299,-0.9543708685886374,2.956977642833112,714,Joan Beringer,MIN,314.13166666666666,23
149,1642364,0.7376636654186062,-2.2459442303499864,3.6916032349986545,2284,Jamir Watkins,WAS,1032.1766666666667,-164
150,1630543,0.7268710345017638,-1.9953686743363603,3.30923338568123,1998,Isaiah Jackson,LAC,908.3116666666666,-50
151,1630165,0.7016433483796499,-1.5941118621534371,3.090837020742113,869,Killian Hayes,SAC,405.52666666666664,-18
152,1627749,0.685331797522915,-0.8917432039445168,2.4352457933620486,838,Dejounte Murray,NOP,389.4166666666667,20
153,1631260,0.6843700354756461,-2.0525403209583533,3.363168723455095,4830,AJ Green,MIL,2269.9333333333334,-148
154,1642885,0.6775207734156833,-1.7986828042166785,3.2691041897239352,1335,Mohamed Diawara,NYK,634.1516666666666,58
155,1642285,0.6710638923362454,-2.129465599961538,3.456114287392766,3762,Cam Spencer,MEM,1714.4516666666666,-89
156,1641764,0.6664801023100353,-2.180083228337849,3.3096800969041813,5133,Brandin Podziemski,GSW,2332.673333333333,15
157,1627783,0.6606934049835052,-2.226751455869178,3.463087773657695,4559,Pascal Siakam,IND,2056.6516666666666,-230
158,2544,0.6604703309611619,-2.271630054782893,3.344350278447638,4267,LeBron James,LAL,1989.055,119
159,1642530,0.6596988880644209,-1.0029965222461388,2.57343542389891,483,Yuki Kawamura,CHI,209.02,-3
160,1631106,0.6514990862487599,-1.8772741934858947,3.3841537339654497,3284,Tari Eason,HOU,1549.105,167
161,1629216,0.6383153884411775,-1.8997044203245541,3.480461252031269,1936,Gabe Vincent,ATL,879.0783333333334,39
162,1628976,0.6376213964443066,-2.314321311177393,3.3729795974704495,4959,Wendell Carter Jr.,ORL,2288.3516666666665,90
163,1631246,0.6302464667539278,-2.3665125406386593,3.425542788093754,1790,Vince Williams Jr.,UTA,819.395,6
164,1628418,0.6241304079203465,-1.658989120601818,3.22524559593226,1589,Thomas Bryant,CLE,731.8166666666667,39
165,1642274,0.6165005392639575,-1.7804443772422913,3.408304890523276,2812,Yves Missi,NOP,1297.0366666666666,-41
166,1642264,0.6062973685929433,-2.2008889757617824,3.2320058275811716,4488,Stephon Castle,SAS,2037.7433333333333,408
167,1628380,0.603583317826829,-1.1697853765743036,2.2454764363245934,420,Zach Collins,CHI,183.73666666666668,18
168,203648,0.6022948655663609,-0.9913103495796117,2.098918304082626,319,Thanasis Antetokounmpo,MIL,147.95833333333334,5
169,1631117,0.584935264741699,-1.54986835241189,2.8762839064852175,327,Walker Kessler,UTA,153.98,14
170,1641772,0.5777433541935242,-2.138273700673716,3.169765985433087,2181,Nae'Qwan Tomlin,CLE,1003.6383333333333,60
171,1629627,0.577491807132655,-1.993063155670074,3.2601702356153446,4070,Zion Williamson,NOP,1841.0633333333333,-82
172,1630193,0.5664337332012731,-2.3837621215658436,3.1677019177324164,4801,Immanuel Quickley,TOR,2231.3083333333334,117
173,201935,0.544697344912173,-2.2121335374686657,3.183778377510788,5175,James Harden,CLE,2438.495,99
174,1631243,0.5289828668415858,-2.3188840755872224,3.612503675018837,2589,Mouhamed Gueye,ATL,1178.8366666666666,43
175,1631095,0.5269808419585653,-2.6253086358788726,3.1466957607557817,5690,Jabari Smith Jr.,HOU,2705.365,265
176,1630568,0.5233306860263132,-1.8175745034780482,3.141213831741201,2341,Luka Garza,BOS,1117.9083333333333,124
177,1630702,0.5212361303316416,-1.8381969056107004,3.4459766689264164,1998,Jaden Hardy,WAS,898.0966666666667,-84
178,202696,0.5198487355569248,-2.0041840856204716,3.415123753732467,4020,Nikola Vučević,BOS,1818.1183333333333,-42
179,203084,0.5012555110151409,-2.1423642629966553,3.215648051115383,4366,Harrison Barnes,SAS,1986.475,329
180,1629726,0.4918503813357617,-2.010417758905527,3.1274242763661375,440,Garrison Mathews,IND,196.1,-2
181,1630703,0.486711648950673,-2.622128212499104,3.195109201485654,1675,Scoot Henderson,POR,747.83,53
182,1631123,0.48559539284271475,-1.7973482380710133,2.8335842599614063,1343,Jamaree Bouyea,PHX,644.0583333333333,25
183,1630552,0.460394049923,-2.485624136324381,3.222082851192849,5647,Jalen Johnson,ATL,2531.5983333333334,187
184,1630162,0.43423874465360995,-2.425903344581937,2.6252338159354878,4648,Anthony Edwards,MIN,2136.5933333333332,162
185,1630167,0.4175501626136931,-2.0836276357426726,2.419311191271023,952,Obi Toppin,IND,423.725,-33
186,1631133,0.39254219926276607,-2.3776924872571192,3.1204002740019323,1659,Jabari Walker,PHI,761.6683333333333,4
187,1641796,0.3771986838678798,-2.416003072698714,3.096210114397244,4172,Pelle Larsson,MIA,1849.1433333333334,80
188,1642959,0.37235490197108634,-1.6247750347184424,2.218876863954416,396,Chris Youngblood,POR,185.09166666666667,9
189,1629656,0.3690511734003598,-2.271711301102452,3.0845024751459498,4807,Quentin Grimes,PHI,2205.721666666667,8
190,1630200,0.36605782720940866,-2.2308681414879783,2.878639962693497,3987,Tre Jones,CHI,1752.3733333333332,-137
191,1629637,0.34698751917204623,-2.185438924921495,2.7449540993205774,2629,Jaxson Hayes,LAL,1206.5783333333334,71
192,1630574,0.33628419484570227,-1.8566294741897393,2.5675064239964103,1073,Ariel Hukporti,NYK,497.96166666666664,35
193,1631120,0.33591374953442044,-1.519095815686606,2.4410766967255704,454,JD Davison,HOU,218.41666666666666,16
194,1642270,0.3357203669733387,-1.8386014259421781,2.876518791507876,4568,Donovan Clingan,POR,2093.6366666666668,14
195,1641842,0.332571042733377,-2.231683351038378,3.0606530563077534,3377,Ronald Holland II,DET,1550.4483333333333,133
196,1629618,0.3321295883228433,-2.2857530534159993,2.613200140041414,1680,Jalen Pickett,DEN,806.48,3
197,1642353,0.3310057050880944,-2.1384757980875686,2.6928087873284268,995,Cam Christie,LAC,479.75,-12
198,1642856,0.32555905024882464,-3.1731387217336926,3.458480939443376,2763,Egor Dëmin,BKN,1308.2083333333333,-161
199,1631103,0.3204159291013463,-2.0108989984500223,2.3847399428710387,607,Malaki Branham,WAS,275.47833333333335,-42
200,1629060,0.2969369415604562,-2.7939138104934926,3.050116714007126,4209,Rui Hachimura,LAL,1926.565,81
201,1627752,0.29647610314650863,-2.027363658992008,2.9102177141671044,1307,Taurean Prince,MIL,611.3033333333333,-51
202,1641713,0.2873649366534729,-2.3474956126664988,2.6893852346858425,2584,GG Jackson,MEM,1177.765,-85
203,1630314,0.2868627833161553,-2.4000434014116814,2.9010226435326576,3339,Brandon Williams,DAL,1462.645,-143
204,201599,0.2753931371377332,-1.501865915247105,1.9121899215697669,426,DeAndre Jordan,NOP,198.8,-1
205,1642862,0.2660520839057723,-1.9103670846897485,2.4957678439713256,774,Liam McNeeley,CHA,367.52166666666665,8
206,1631093,0.26535323922223325,-2.0783927758605634,2.882802284122801,1472,Jaden Ivey,CHI,670.255,26
207,1642504,0.2520318617177504,-1.5414084324874047,2.1773293479780165,562,Cormac Ryan,MIL,270.67833333333334,-18
208,1628960,0.23778195340743966,-2.5429387119459372,3.143572553045263,3151,Grayson Allen,PHX,1467.2783333333334,18
209,1629048,0.23577945889298366,-2.637526576428195,2.984118372763122,2137,Goga Bitadze,ORL,972.0066666666667,17
210,1642277,0.23323603248364908,-2.3964746840594287,2.6606932101681853,1411,Johnny Furphy,IND,643.0533333333333,-58
211,1630604,0.2069477416397709,-1.8053058426646418,2.1581038923626474,737,E.J. Liddell,BKN,349.19,-47
212,1641733,0.2049942502062248,-2.140352676402377,2.4864690538954717,820,Nick Smith Jr.,LAL,374.87666666666667,-3
213,1629645,0.20046720453216121,-2.8115953696127836,3.1881603714232547,2691,Kevin Porter Jr.,MIL,1261.015,-107
214,1631250,0.1994494240845886,-2.876783763618863,2.9281238787688095,1544,Pete Nance,MIL,737.0983333333334,-78
215,1628379,0.18295636688899566,-2.774574139657026,3.2178485099849117,3717,Luke Kennard,LAL,1680.4766666666667,41
216,1631207,0.17697045341277579,-2.1515141944397405,2.6602467499558156,1237,Dalen Terry,PHI,551.0266666666666,-45
217,203903,0.1747745825180092,-2.4621481208613964,3.138014903390098,2736,Jordan Clarkson,NYK,1279.4616666666666,110
218,1626156,0.14752018706262535,-2.5188564399033644,2.7783602087110513,1102,D'Angelo Russell,WAS,494.775,-41
219,1630166,0.14296747321758724,-2.488900897938611,2.4022980087924886,4852,Deni Avdija,POR,2199.385,16
220,1642859,0.1422091559446902,-2.664032294426498,3.030104766924465,1280,Jase Richardson,ORL,586.7483333333333,-17
221,1631121,0.13885532276922843,-2.135038069652084,2.4208818192496357,1955,Bryce McGowens,NOP,879.9333333333333,-70
222,201567,0.13384670090989936,-2.415658128854658,2.625053258397118,1368,Kevin Love,UTA,612.8,-80
223,1641771,0.12918099514968873,-1.7628294150209842,2.0573491966050783,670,Jalen Slawson,IND,310.55,-26
224,1630173,0.12848719559038502,-2.6921329913709005,3.176653456162716,3702,Precious Achiuwa,SAC,1745.185,-271
225,1641739,0.12624763328464558,-2.362520882114171,2.652869432307787,6008,Toumani Camara,POR,2731.2366666666667,32
226,1627751,0.12030755829621122,-3.1652333957104446,2.6911864874972866,2463,Jakob Poeltl,TOR,1149.06,48
227,1628969,0.11318759451889032,-2.499259875559869,2.6629047730488513,5704,Mikal Bridges,NYK,2691.935,298
228,1628404,0.07549936142761136,-2.435952131964471,2.5133558790287465,4259,Josh Hart,NYK,1993.575,210
229,1629636,0.06221523627143801,-2.973565780316002,3.2698252543480626,2953,Darius Garland,LAC,1344.2766666666666,84
230,1641737,0.038323082261860486,-3.0452009633079014,3.2823762827206493,2675,Adem Bona,PHI,1234.1616666666666,-8
231,1641763,0.015816607677525005,-2.331841416601479,2.2077003918551386,974,Julian Phillips,MIN,427.01666666666665,-22
232,1642358,0.014666144954955615,-2.0833062838095393,2.1524707843861393,985,AJ Johnson,DAL,453.43333333333334,-53
233,1631230,0.014097123170164878,-2.9232932898443513,2.9469196587477406,3638,Dominick Barlow,PHI,1688.5183333333334,27
234,1630578,0.005563543201856437,-2.7877735747917356,2.7021052447256144,5051,Alperen Sengun,HOU,2397.695,205
235,203076,-5.030610792533522e-4,-2.2886166957288854,2.437087173407639,1381,Anthony Davis,WAS,625.63,-50
236,1630587,-0.006622647793512,-2.20343684089466,2.2805469919386487,758,Isaiah Livers,PHX,347.36,11
237,204060,-0.029088017190115032,-1.5851201463363114,1.5012775906909037,364,Joe Ingles,MIN,152.68833333333333,-8
238,1642281,-0.031370180108894453,-2.9251043481083574,3.213433904107678,3860,Jaylon Tyson,CLE,1777.4833333333333,110
239,1642404,-0.03216163634273066,-2.147737819440314,2.1205421566541154,574,Chaz Lanier,DET,262.005,6
240,1631132,-0.03523967652505175,-2.04622119319809,2.308703798734065,799,Christian Koloko,ATL,356.66833333333335,-13
241,1642354,-0.04532726403888133,-2.0127039960048743,1.8612224193294167,556,KJ Simpson,DEN,257.61,-2
242,1630530,-0.054801320788990165,-2.5018241784846067,2.5399294094974847,5135,Trey Murphy III,NOP,2340.6383333333333,-169
243,1631124,-0.05635068904656646,-2.528505695817167,2.765281464856434,1860,Julian Strawther,DEN,860.6733333333333,20
244,1631199,-0.08429682233275514,-2.146171151260873,2.120807201263064,654,Ron Harper Jr.,BOS,317.52666666666664,18
245,202691,-0.08433579226645462,-2.86124314326653,2.613365958904499,3463,Klay Thompson,DAL,1496.83,-133
246,1629014,-0.08560553840019874,-3.233429316515069,2.7876742525776628,2920,Anfernee Simons,CHI,1371.9333333333334,98
